timestamp_utc,kind,user,source_host,source_ip,port,terminal,service,method,detail,logged_by,source
2021-12-01 14:03:55,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 14:07:41,failed login,user,198.18.0.95,198.18.0.95,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 15:22:54,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 16:16:48,failed login,user,198.18.0.7,198.18.0.7,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 17:25:16,failed login,ftpuser,198.18.0.3,198.18.0.3,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 17:46:23,failed login,user,198.18.0.75,198.18.0.75,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 18:22:32,failed login,user,198.18.0.93,198.18.0.93,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 18:36:32,failed login,user,198.18.0.75,198.18.0.75,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 19:01:18,failed login,user,198.18.0.95,198.18.0.95,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 19:36:19,failed login,user,198.18.0.7,198.18.0.7,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 19:57:11,failed login,user,198.18.0.22,198.18.0.22,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 20:51:06,failed login,user,198.18.0.113,198.18.0.113,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 21:23:35,failed login,admin,198.18.0.3,198.18.0.3,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 21:38:45,failed login,user,198.18.0.127,198.18.0.127,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 22:28:11,failed login,user,198.18.0.16,198.18.0.16,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 22:28:43,failed login,user,198.18.0.16,198.18.0.16,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 22:39:50,failed login,user,198.18.0.119,198.18.0.119,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 22:40:59,failed login,user,198.18.0.119,198.18.0.119,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 22:42:48,failed login,user,198.18.0.75,198.18.0.75,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 23:02:03,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 00:08:41,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 00:30:54,failed login,user,198.18.0.138,198.18.0.138,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 00:33:17,failed login,user,198.18.7.59,198.18.7.59,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 00:41:45,failed login,lab,198.18.0.3,198.18.0.3,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:15,failed login,tracerlab,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:17,failed login,admin,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:18,failed login,admin,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:19,failed login,test,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:22,failed login,oracle,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:25,failed login,postgres,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:26,failed login,ubuntu,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:28,failed login,a1234,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:29,failed login,es,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 01:18:30,failed login,ubuntu,198.18.0.21,198.18.0.21,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
